iter	Passed	Remaining
0	350	350644
1	354	176928
2	356	118448
3	358	89236
4	360	71699
5	362	60016
6	364	51769
7	368	45711
8	372	41004
9	375	37151
10	378	34009
11	384	31637
12	387	29431
13	390	27506
14	393	25822
15	399	24558
16	402	23262
17	405	22101
18	408	21090
19	416	20426
20	419	19555
21	422	18767
22	424	18038
23	429	17463
24	437	17061
25	439	16468
26	441	15913
27	447	15543
28	450	15093
29	453	14655
30	455	14253
31	469	14204
32	473	13885
33	481	13685
34	484	13346
35	488	13085
36	496	12920
37	499	12634
38	502	12380
39	504	12107
40	511	11968
41	514	11730
42	517	11509
43	519	11278
44	520	11054
45	525	10890
46	527	10698
47	531	10544
48	533	10361
49	536	10193
50	539	10031
51	541	9873
52	544	9724
53	549	9632
54	552	9491
55	554	9345
56	556	9201
57	558	9064
58	572	9130
59	579	9077
60	581	8949
61	583	8822
62	585	8702
63	587	8585
64	588	8472
65	591	8367
66	594	8274
67	598	8197
68	600	8099
69	602	8002
70	607	7951
71	609	7859
72	611	7771
73	613	7681
74	615	7592
75	617	7509
76	623	7468
77	625	7388
78	626	7307
79	628	7230
80	630	7155
81	632	7082
82	633	6998
83	638	6966
84	640	6897
85	646	6870
86	648	6804
87	650	6738
88	652	6676
89	654	6615
90	656	6553
91	661	6526
92	663	6467
93	665	6411
94	667	6354
95	669	6301
96	671	6246
97	674	6212
98	677	6161
99	678	6110
100	681	6062
101	682	6013
102	684	5965
103	686	5917
104	689	5881
105	691	5836
106	694	5792
107	696	5748
108	697	5705
109	700	5663
110	705	5651
111	707	5610
112	709	5570
113	711	5530
114	713	5490
115	715	5450
116	722	5450
117	724	5418
118	729	5404
119	736	5401
120	743	5400
121	745	5365
122	747	5330
123	750	5305
124	754	5278
125	756	5247
126	757	5209
127	759	5174
128	762	5147
129	764	5115
130	766	5083
131	768	5050
132	769	5019
133	771	4987
134	777	4980
135	779	4949
136	781	4920
137	783	4891
138	785	4864
139	787	4836
140	791	4822
141	792	4789
142	794	4761
143	797	4739
144	799	4711
145	801	4685
146	802	4659
147	808	4654
148	811	4633
149	813	4610
150	817	4594
151	822	4588
152	824	4563
153	826	4539
154	828	4515
155	830	4491
156	832	4467
157	834	4445
158	836	4422
159	837	4399
160	839	4372
161	841	4353
162	843	4331
163	845	4310
164	850	4303
165	852	4282
166	854	4261
167	856	4240
168	858	4220
169	860	4199
170	862	4179
171	864	4160
172	866	4140
173	868	4120
174	869	4099
175	871	4079
176	873	4060
177	877	4051
178	879	4034
179	881	4015
180	883	3996
181	885	3977
182	886	3958
183	888	3940
184	894	3939
185	896	3924
186	898	3907
187	900	3889
188	902	3872
189	904	3854
190	908	3848
191	911	3836
192	914	3823
193	918	3815
194	920	3800
195	925	3797
196	927	3782
197	929	3766
198	931	3749
199	933	3734
200	935	3718
201	941	3718
202	943	3702
203	944	3686
204	946	3671
205	948	3656
206	950	3641
207	954	3636
208	956	3621
209	958	3607
210	960	3592
211	962	3578
212	964	3563
213	966	3549
214	970	3543
215	972	3529
216	974	3516
217	976	3502
218	978	3488
219	979	3474
220	982	3461
221	989	3467
222	992	3457
223	995	3448
224	998	3438
225	1004	3438
226	1006	3427
227	1009	3416
228	1012	3409
229	1016	3402
230	1019	3392
231	1021	3381
232	1023	3368
233	1025	3357
234	1027	3344
235	1029	3331
236	1034	3329
237	1036	3319
238	1039	3309
239	1042	3300
240	1044	3290
241	1050	3289
242	1052	3279
243	1055	3269
244	1057	3259
245	1060	3249
246	1064	3246
247	1066	3234
248	1068	3222
249	1070	3211
250	1072	3200
251	1074	3188
252	1076	3178
253	1078	3168
254	1080	3157
255	1082	3146
256	1085	3138
257	1090	3136
258	1093	3127
259	1096	3121
260	1099	3111
261	1101	3102
262	1108	3104
263	1110	3096
264	1112	3085
265	1114	3074
266	1116	3064
267	1118	3055
268	1121	3048
269	1123	3038
270	1126	3030
271	1129	3022
272	1131	3012
273	1135	3009
274	1138	3000
275	1140	2992
276	1143	2984
277	1145	2974
278	1147	2964
279	1151	2961
280	1153	2952
281	1155	2942
282	1157	2932
283	1159	2923
284	1161	2915
285	1167	2914
286	1169	2904
287	1171	2895
288	1173	2886
289	1174	2876
290	1177	2867
291	1182	2867
292	1186	2861
293	1189	2855
294	1191	2848
295	1193	2839
296	1199	2838
297	1201	2831
298	1205	2827
299	1208	2820
300	1213	2818
301	1215	2809
302	1217	2800
303	1219	2791
304	1221	2783
305	1223	2774
306	1225	2766
307	1229	2763
308	1231	2754
309	1233	2745
